Account,active_days,total_pnl,mean_daily_pnl,profitable_day_rate,median_trade_count,median_trade_size_usd,frequency_segment,size_segment,consistency_segment,winner_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,2143382.597689,8372.588272222656,0.484375,22.5,2302.32914973262,Low Frequency,Small Size,Inconsistent,Winners
0x083384f897ee0f19899168e3b1bec365f52a9012,24,1600229.819979,66676.242499125,0.6666666666666666,53.0,22542.330089776617,High Frequency,Large Size,Consistent Winners,Winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,940163.80622,33577.27879357143,0.7857142857142857,412.0,3294.637490501133,High Frequency,Large Size,Consistent Winners,Winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,840422.555216,21549.296287589743,0.5641025641025641,211.0,25242.244090287277,High Frequency,Large Size,Consistent Winners,Winners
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,836080.553077,6382.294298297709,0.8015267175572519,151.0,1502.8190988372094,High Frequency,Small Size,Consistent Winners,Winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,677747.050643,11685.293976603449,0.6724137931034483,50.0,7472.913437499999,High Frequency,Large Size,Consistent Winners,Winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,429355.565915,22597.66136394737,0.21052631578947367,77.0,2502.2713636363637,High Frequency,Large Size,Inconsistent,Winners
0x430f09841d65beb3f27765503d0f850b8bce7713,28,416541.872341,14876.49544075,0.25,5.5,795.9708177361854,Low Frequency,Small Size,Inconsistent,Winners
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,379095.406711,2596.5438815821917,0.910958904109589,45.0,2462.834940292758,High Frequency,Small Size,Consistent Winners,Winners
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,65,360539.510029,5546.761692753847,0.24615384615384617,13.0,2258.9,Low Frequency,Small Size,Inconsistent,Winners
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,308975.869716,962.5416502056074,0.6043613707165109,16.0,14664.804285714286,Low Frequency,Large Size,Consistent Winners,Winners
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,67,220519.06185300002,3291.32928138806,0.26865671641791045,27.0,3619.3485714285716,Low Frequency,Large Size,Inconsistent,Winners
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,199505.592732,9975.2796366,0.5,11.0,4649.7582142857145,Low Frequency,Large Size,Inconsistent,Winners
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,168658.004994,2444.3189129565217,0.782608695652174,24.0,1943.5483333333332,Low Frequency,Small Size,Consistent Winners,Winners
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,132464.814554,817.6840404567902,0.8888888888888888,61.0,347.20546867167917,High Frequency,Small Size,Consistent Winners,Winners
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,126578.942134,7032.163451888889,0.3888888888888889,77.0,3563.760085836397,High Frequency,Large Size,Inconsistent,Winners
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,108731.216772,2313.4301440851063,0.574468085106383,12.0,833.3333333333334,Low Frequency,Small Size,Consistent Winners,Losers
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,106302.875256,1660.982425875,0.71875,188.0,1015.5521287386216,High Frequency,Small Size,Consistent Winners,Losers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,103343.716161,717.6646955625,0.8194444444444444,33.0,489.4690738025415,High Frequency,Small Size,Consistent Winners,Losers
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,37,72846.484272,1968.8238992432432,0.43243243243243246,3.0,500.0,Low Frequency,Small Size,Inconsistent,Losers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,67845.619531,4523.0413020666665,0.4666666666666667,28.0,2486.837368421053,High Frequency,Large Size,Inconsistent,Losers
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,65513.657906,1213.215887148148,0.3888888888888889,6.5,1695.4238023952093,Low Frequency,Small Size,Inconsistent,Losers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,53496.247243000005,1910.5802586785717,0.5357142857142857,7.5,3025.5414826839824,Low Frequency,Large Size,Inconsistent,Losers
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,47885.320514,920.8715483461539,0.5576923076923077,61.5,1561.205449604743,High Frequency,Small Size,Inconsistent,Losers
0x8477e447846c758f5a675856001ea72298fd9cb5,174,43917.008976,252.3966033103448,0.7586206896551724,34.5,621.621539039039,High Frequency,Small Size,Consistent Winners,Losers
0xb899e522b5715391ae1d4f137653e7906c5e2115,35,22488.500821,642.5285948857144,0.7714285714285715,82.0,24787.07348387097,High Frequency,Large Size,Consistent Winners,Losers
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,20,21758.831753,1087.94158765,0.55,11.0,6794.661851851852,Low Frequency,Large Size,Inconsistent,Losers
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,14900.443047,573.0939633461538,0.6153846153846154,5.5,5700.528333333334,Low Frequency,Large Size,Consistent Winners,Losers
0x39cef799f8b69da1995852eea189df24eb5cae3c,46,14456.919336,314.2808551304348,0.5434782608695652,14.0,4110.426239347518,Low Frequency,Large Size,Inconsistent,Losers
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,-31203.599986,-725.6651159534885,0.32558139534883723,6.0,117.02833333333335,Low Frequency,Small Size,Inconsistent,Losers
0x271b280974205ca63b716753467d5a371de622ab,12,-70436.191318,-5869.682609833333,0.6666666666666666,326.0,7121.300711918432,High Frequency,Large Size,Consistent Winners,Losers
0x8170715b3b381dffb7062c0298972d4727a0a63b,92,-167621.124781,-1821.9687476195652,0.42391304347826086,18.5,1905.0865202702703,Low Frequency,Small Size,Inconsistent,Losers
